,H,abbrv,category,citations,name,dblp_name
27,13,APWeb,World Wide Web,818,Asia-Pacific Web Conference,APWeb
28,12,AWIC,World Wide Web,230,Atlantic Web Intelligence Conference,AWIC
29,12,ASWC,World Wide Web,146,Asian Semantic Web Conference,ASWC
30,12,WIIW,World Wide Web,52,Workshop on Information Integration on the Web,Workshop on Information Integration on the Web
31,12,Hypertext(UK),World Wide Web,39,UK Conference on Hypertext,Hypertext
32,11,WEDELMUSIC,World Wide Web,115,Web Delivering of Music,WEDELMUSIC
33,11,,World Wide Web,38,Web Engineering,Web Engineering
34,11,WES,World Wide Web,33,"Web Services, E-Business, and the Semantic Web",WES
35,10,EXTREME,World Wide Web,165,Extreme Markup Languages,Extreme Markup Languages®
36,10,SWAP,World Wide Web,137,Semantic Web Applications and Perspectives,SWAP
37,10,SemWiki,World Wide Web,54,Semantic Wikis,SemWiki
38,9,WEBIST,World Wide Web,712,Web Information Systems and Technologies,WEBIST
39,9,ICIW,World Wide Web,382,International Conference on Internet and Web Applications and Services,ICIW
40,9,OHS,World Wide Web,55,International Workshop on Open Hypertext Systems,NotAConf
41,9,IWDH,World Wide Web,31,International Workshop on Hypermedia Design,NotAConf
42,9,,World Wide Web,20,Rule Markup Languages for Business Rules on the Semantic Web,NotAConf
43,8,SERVICES,World Wide Web,284,IEEE Congress on Services,SERVICES
44,8,ICSC,World Wide Web,35,IEEE International Conference on Semantic Computing,ICSC
45,7,IICS,World Wide Web,171,Innovative Internet Computing Systems,IICS
46,7,ISEC,World Wide Web,72,International Symposium on Electronic Commerce,ISEC
47,7,CloudCom,World Wide Web,70,International Conference On Cloud Computing Technology And Science,CloudCom
48,7,DCW,World Wide Web,50,Workshop on Distributed Communities on the Web,DCW
49,7,WSMAI,World Wide Web,35,"Web Services: Modeling, Architecture and Infrastructure",WSMAI
50,7,DIWeb,World Wide Web,29,Data Integration over the Web,DIWeb
51,6,,World Wide Web,73,Structural Computing / Metainformatics,NotAConf
52,6,MTW,World Wide Web,13,Models of Trust for the Web,MTW
53,5,eCrime,World Wide Web,41,Anti-Phishing Working Groups 2nd Annual eCrime Researchers Summit,eCrime
54,5,CSSW,World Wide Web,19,Conference on Social Semantic Web,CSSW
55,5,,World Wide Web,9,Semantic Web Workshop,Semantic Web Workshop
56,4,WITASI,World Wide Web,24,"Workshop on Internet Technologies, Applications, and Social Impact",WITASI
57,4,ICPW,World Wide Web,24,International Conference on Pragmatic Web,ICPW
58,4,CSWWS,World Wide Web,15,Canadian Semantic Web Working Symposium,CSWWS
59,3,GENEME,World Wide Web,47,Gemeinschaften in Neuen Medien,GeNeMe
60,3,MTSR,World Wide Web,40,Metadata and Semantics Research,MTSR
61,3,,World Wide Web,23,Architectures for Quality of Service in the Internet,NotAConf
62,3,PragWeb,World Wide Web,13,Pragmatic Web,PragWeb
63,3,FEWS,World Wide Web,8,Finding Experts on the Web with Semantics,FEWS
64,3,MobiArch,World Wide Web,4,Mobility In The Evolving Internet Architecture,MobiArch
65,3,ISW,World Wide Web,3,International Symposium on Wikis,ISW
66,2,WISM,World Wide Web,62,Web Information Systems and Mining,WISM
67,2,,World Wide Web,58,High-Performance Web Databases,High-Performance Web Databases
68,2,,World Wide Web,29,Advanced Internet Services and Applications,NotAConf
69,2,XSW,World Wide Web,14,XML Technologien fr das Semantic Web,XSW
70,2,Web3D,World Wide Web,7,3D technologies for the World Wide Web,Web3D
71,1,IAWTIC,World Wide Web,1,"International Conference on Intelligent Agents, Web Technologiesand Internet Commerce",NotAConf
72,1,WWW(poster),World Wide Web,1,World Wide Web Conference Series(poster),WWW
73,0,WEBIST,World Wide Web,1,International Conference on Web Information Systems and Technologies,WEBIST
74,118,ICSE,Software Engineering,4692,International Conference on Software Engineering,ICSE
75,89,ITC,Software Engineering,4473,International Test Conference,ITC
76,88,CAV,Software Engineering,1072,Computer Aided Verification,CAV
77,59,OOPSLA,Software Engineering,1822,"Conference on Object-Oriented Programming Systems, Languages, and Applications",OOPSLA
78,59,SPIN,Software Engineering,644,International Workshop on Model Checking of Software,SPIN
79,57,TACAS,Software Engineering,670,Tools and Algorithms for Construction and Analysis of Systems,TACAS
80,56,ICSM,Software Engineering,1486,International Conference on Software Maintenance,NotAConf
81,54,CP,Software Engineering,1245,Principles and Practice of Constraint Programming,CP
82,49,IFIP,Software Engineering,2830,IFIP Congress,NotAConf
83,47,,Software Engineering,406,Requirements Engineering,NotAConf
84,46,,Software Engineering,3061,Dagstuhl Seminars,NotAConf
85,46,AOSD,Software Engineering,346,Aspect-Oriented Software Development,AOSD
86,45,SAS(WSA),Software Engineering,555,Static Analysis Symposium/Workshop on Static Analysis,SAS
87,44,ASE,Software Engineering,1205,Automated Software Engineering,ASE
88,44,ESEC,Software Engineering,690,European Software Engineering Conference,ESEC
89,43,WCRE,Software Engineering,641,Working Conference on Reverse Engineering,WCRE
90,42,SAC,Software Engineering,4603,ACM Symposium on Applied Computing,SAC
91,42,UML,Software Engineering,476,The Unified Modeling Language,UML
92,39,FM,Software Engineering,784,World Congress on Formal Methods,World Congress on Formal Methods
93,37,ISSRE,Software Engineering,867,International Symposium on Software Reliability Engineering,ISSRE
94,37,ICPC,Software Engineering,633,International Conference on Program Comprehension,ICPC
95,36,RTA,Software Engineering,698,Rewriting Techniques and Applications,RTA
96,35,TAPSOFT,Software Engineering,393,Theory and Practice of Software Development,TAPSOFT
97,35,ISSTA,Software Engineering,356,International Symposium on Software Testing and Analysis,ISSTA
98,35,,Software Engineering,310,Fall Joint Computer Conference,NotAConf
99,34,COMPSAC,Software Engineering,3405,International Computer Software and Applications Conference,COMPSAC
100,33,METRICS,Software Engineering,337,IEEE International Software Metrics Symposium,NotAConf
101,32,INRIA,Software Engineering,292,INRIA,NotAConf
102,31,FASE,Software Engineering,399,Fundamental Approaches to Software Engineering,FASE
103,30,TOOLS,Software Engineering,1424,Technology of Object-Oriented Languages and Systems,TOOLS
104,30,WETICE,Software Engineering,1206,Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises,WETICE
105,30,FoSSaCS,Software Engineering,399,Foundations of Software Science and Computation Structure,FoSSaCS
106,30,FMCAD,Software Engineering,348,Formal Methods in Computer-Aided Design,FMCAD
107,30,VMCAI,Software Engineering,278,"Verification, Model Checking and Abstract Interpretation",VMCAI
108,30,ISMM,Software Engineering,231,International Symposium on Memory Management,NotAConf
109,29,ICSR,Software Engineering,335,International Conference on Software Reuse,ICSR
110,28,CSMR,Software Engineering,723,Conference on Software Maintenance and Reengineering,CSMR
111,28,SPLC,Software Engineering,394,Software Product Lines,SPLC
112,27,SEKE,Software Engineering,1831,Software Engineering and Knowledge Engineering,SEKE
113,27,FGCS,Software Engineering,346,Fifth Generation Computer Systems,FGCS
114,27,WOSP,Software Engineering,231,Workshop on Software and Performance,Workshop on Software and Performance
115,26,AMAST,Software Engineering,473,Algebraic Methodology and Software Technology,AMAST
116,26,COORDINATION,Software Engineering,295,Coordination Models and Languages,COORDINATION
117,26,,Software Engineering,226,Generative Programming and Component Engineering,NotAConf
118,25,APSEC,Software Engineering,1305,Asia-Pacific Software Engineering Conference,APSEC
119,25,WICSA,Software Engineering,413,Working IEEE/IFIP Conference on Software Architecture,WICSA
120,25,SOFTVIS,Software Engineering,186,Software Visualization,SOFTVIS
121,23,EUROMICRO,Software Engineering,1153,Conference on Software Engineering and Advanced Applications,EUROMICRO
122,23,LOPSTR,Software Engineering,402,Logic Program Synthesis and Transformation,LOPSTR
123,23,MPC,Software Engineering,220,Mathematics of Program Construction,MPC
124,23,IWSSD,Software Engineering,147,International Workshop on Software Specifications & Design,IWSSD
125,23,VEE,Software Engineering,111,International Conference on Virtual Execution Environments,VEE
126,23,ICSP,Software Engineering,87,International Conference on the Software Process,ICSP
127,22,CMG,Software Engineering,3155,Computer Measurement Group Conference,NotAConf
128,22,MODELS,Software Engineering,533,Model Driven Engineering Languages and Systems,MoDELS
129,22,SCM,Software Engineering,216,System Configuration Management,SCM
130,22,FIW,Software Engineering,208,Feature Interactions in Telecommunications and Software Systems,FIW
131,22,PASTE,Software Engineering,110,Workshop on Program Analysis For Software Tools and Engineering,PASTE
132,21,,Software Engineering,427,IEEE International Conference on Formal Engineering Methods,NotAConf
133,21,MSR,Software Engineering,267,Mining Software Repositories,MSR
134,21,CBSE,Software Engineering,227,Component-Based Software Engineering,CBSE
135,21,ISESE,Software Engineering,206,International Symposium on Empirical Software,ISESE
136,20,CSC,Software Engineering,1756,ACM Annual Computer Science Conference,CSC
137,20,ICECCS,Software Engineering,706,International Conference on Engineering of Complex Computer Systems,ICECCS
138,20,QEST,Software Engineering,386,Quantitative Evaluation of Systems,QEST
139,20,RE,Software Engineering,104,IEEE Int. Conf. on Requirements Engineering,RE
140,19,,Software Engineering,540,Australian Software Engineering Conference,Australian Software Engineering Conference
141,19,HASE,Software Engineering,414,High-Assurance Systems,HASE
142,19,IFM,Software Engineering,207,Integrated Formal Methods,IFM
143,19,FORMATS,Software Engineering,184,Formal Modeling and Analysis of Timed Systems,FORMATS
144,19,IWPSE,Software Engineering,172,International Workshop on Principles of Software Evolution,IWPSE
145,19,,Software Engineering,133,Formal Methods for Components and Objects,NotAConf
146,19,FroCos,Software Engineering,132,Frontiers of Combining Systems,FroCoS
147,18,XP Universe,Software Engineering,647,Extreme Programming,NotAConf
148,18,SAFECOMP,Software Engineering,471,"International Conference on Computer Safety, Reliability and Security",SAFECOMP
149,18,SEFM,Software Engineering,337,Conference on Software Engineering and Formal Methods,SEFM
150,18,SCAM,Software Engineering,229,Source Code Analysis and Manipulation,SCAM
151,18,,Software Engineering,57,Meta-Level Architectures and Reflection,NotAConf
152,17,ISCIS,Software Engineering,869,International Symposium on Computer and Information Sciences,ISCIS
153,17,,Software Engineering,405,Ershov Memorial Conference,Ershov Memorial Conference
154,17,WIKIS,Software Engineering,177,International Symposium on Wikis,NotAConf
155,17,SSR,Software Engineering,67,ACM SIGSOFT Symposium on Software Reusability,SSR
156,16,ICSP,Software Engineering,628,International Software Process Workshop,ICSP
157,16,QSIC,Software Engineering,555,International Conference on Quality Software,QSIC
158,16,PROFES,Software Engineering,399,Product Focused Software Process Improvement,PROFES
159,16,OOIS,Software Engineering,393,Object Oriented Information Systems,OOIS
160,16,EWSPT,Software Engineering,244,European Workshop on Software Process Technology,EWSPT
161,16,REFSQ,Software Engineering,200,Requirements Engineering: Foundation for Software Quality,REFSQ
162,16,SOCO,Software Engineering,114,Software Composition,Software Composition
163,16,FATES/RV,Software Engineering,74,International Workshop on Formal Approaches to Testing of Software,FATES/RV
164,16,WOSS,Software Engineering,49,Workshop on Self-Healing Systems,WOSS
165,15,SERP,Software Engineering,1041,Software Engineering Research and Practice,Software Engineering Research and Practice
166,15,SEW,Software Engineering,277,Annual Software Engineering Workshop,SEW
167,15,ICCBSS,Software Engineering,195,International Conference on COTS-Based Software Systems,ICCBSS
168,15,ECMDAFA,Software Engineering,155,European Conference on Model Driven Architecture,NotAConf
169,15,SELMAS,Software Engineering,99,Software Engineering for Large-Scale Multi-Agent Systems,SELMAS
170,15,CD,Software Engineering,86,IFIP/ACM Working Conference on Component Deployment,NotAConf
171,15,,Software Engineering,74,Software Product Family Engineering,NotAConf
172,15,AMAST,Software Engineering,50,Algebraic Methodology and Software Technology,AMAST
173,15,,Software Engineering,35,Automatic Verification Methods for Finite State Systems,Automatic Verification Methods for Finite State Systems
174,15,COMPOS,Software Engineering,26,Compositionality: The Significant Difference,COMPOS
175,14,,Software Engineering,1228,ACS/IEEE International Conference on Computer Systems and Applications,NotAConf
176,14,ATVA,Software Engineering,254,Automated Technology for Verification and Analysis,ATVA
177,14,,Software Engineering,182,DFG Projects,NotAConf
178,14,STEP,Software Engineering,180,Software Technology and Engineering Practice,STEP
179,14,CTRS,Software Engineering,126,Conditional Term Rewriting Systems,CTRS
180,14,ISAS,Software Engineering,105,International Service Availability Symposium,ISAS
181,14,,Software Engineering,79,"School on Formal Methods for the Design of Computer, Communication and Software Systems",NotAConf
182,14,GCSE,Software Engineering,55,Generative and Component-Based Software Engineering,GCSE
183,14,ICFPC,Software Engineering,49,Formalization of Programming Concepts,ICFPC
184,13,ICGSE,Software Engineering,242,IEEE International Conference on Global Software Engineering,ICGSE
185,13,ISOTAS,Software Engineering,53,International Symposium on Object Technologies for Advanced Software,ISOTAS
186,12,IRI,Software Engineering,972,Information Reuse and Integration,IRI
187,12,ICST,Software Engineering,602,"International Conference on Software Testing, Verification, and Validation",ICST
188,12,ISOLA,Software Engineering,312,Leveraging Applications of Formal Methods,ISoLA
189,12,OSS,Software Engineering,237,Open Source Software,OSS
190,12,IESA,Software Engineering,214,Interoperability for Enterprise Software and Applications,IESA
191,12,FMICS,Software Engineering,118,Formal Methods for Industrial Critical Systems,FMICS
192,12,SEE,Software Engineering,105,Software Engineering Environments,SEE
193,12,PDSE,Software Engineering,103,International Symposium on Software Engineering for Parallel and Distributed Systems,PDSE
194,12,VISSOFT,Software Engineering,89,Visualizing Software for Understanding and Analysis,VISSOFT
195,12,EWSA,Software Engineering,65,European Workshop on Software Architecture,EWSA
196,12,GTTSE,Software Engineering,40,Generative and Transformational Techniques in Software Engineering,GTTSE
197,12,,Software Engineering,31,Ontologies in Agent Systems,NotAConf
198,11,SNPD,Software Engineering,1702,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD
199,11,SE,Software Engineering,558,Software Engineering,Software Engineering
200,11,ESEM,Software Engineering,467,Empirical Software Engineering and Measurement,ESEM
201,11,FDL,Software Engineering,288,Forum on specification & Design Languages,FDL
202,11,,Software Engineering,218,Modellierung,Modellierung
203,11,JCKBSE,Software Engineering,160,Joint Conference on Knowledge-Based Software Engineering,JCKBSE
204,11,SAM,Software Engineering,73,System Analysis and Modeling,SAM
205,11,,Software Engineering,67,Software Engineering and Middleware Engineering Distributed Objects,NotAConf
206,11,ETX,Software Engineering,65,Eclipse Technology eXchange,ETX
207,11,,Software Engineering,61,Learning Software Organizations,NotAConf
208,11,AGILEDC,Software Engineering,49,Agile Development Conference,Agile Development Conference
209,11,WSE,Software Engineering,47,Website Evolution,WSE
210,11,FMSP,Software Engineering,33,Formal Methods in Software Practice,FMSP
211,11,SAIG,Software Engineering,29,"Semantics, Applications, and Implementation of Program Generation",SAIG
212,11,MDAFA,Software Engineering,29,Model Driven Architecture Foundations and Applications,MDAFA
213,10,SEAA,Software Engineering,358,Software Engineering and Advanced Applications,SEAA
214,10,SCCC,Software Engineering,333,International Conference of the Chilean Computer Science Society,SCCC
215,10,IASTEDSEA,Software Engineering,148,Software Engineering and Applications,NotAConf
216,10,EPEW,Software Engineering,121,European Performance Engineering Workshop,EPEW
217,10,TAICPART,Software Engineering,109,Testing: Academic & Industrial Conference,NotAConf
218,10,APAQS,Software Engineering,88,Asia-Pacific Conference on Quality Software,APAQS
219,10,QOSA,Software Engineering,77,Quality of Software Architectures,QoSA
220,10,SOQUA,Software Engineering,75,Software Quality,SOQUA
221,10,TAP,Software Engineering,60,Tests and Proofs,TAP
222,10,WIFT,Software Engineering,40,Workshop on Industrial-Strength Formal Specification Techniques,WIFT
223,10,CASSIS,Software Engineering,29,"Construction and Analysis of Safe, Secure, and Interoperable Smart Devices",CASSIS
224,10,FCA,Software Engineering,19,Formal Concept Analysis,Formal Concept Analysis
225,9,ACISICIS,Software Engineering,966,ACIS International Conference on Computer and Information Science,NotAConf
226,9,IASTEDSE,Software Engineering,269,Software Engineering,Software Engineering
227,9,JCIT,Software Engineering,219,Jerusalem Conference on Information Technology,Jerusalem Conference on Information Technology
228,9,EUROSPI,Software Engineering,110,European Conference on Software Process Improvement,EuroSPI
229,9,HVC,Software Engineering,109,Haifa Verification Conference,Haifa Verification Conference
230,9,VSTTE,Software Engineering,58,"Verified Software: Theories, Tools, Experiments",VSTTE
231,9,ACL2,Software Engineering,56,International Workshop on the ACL2 Theorem Prover and Its Applications,ACL2
232,9,,Software Engineering,34,Program Construction,Program Construction
233,9,,Software Engineering,18,Reflection and Software Engineering,Reflection and Software Engineering
234,8,,Software Engineering,444,Software Engineering Research and Applications,NotAConf
235,8,WER,Software Engineering,250,Workshop em Engenharia de Requisitos,WER
236,8,TASE,Software Engineering,218,Theoretical Aspects of Software Engineering,TASE
237,8,SOCA,Software Engineering,218,Service-Oriented Computing and Applications,SOCA
238,8,ECSA,Software Engineering,187,European Conference on Software Architecture,ECSA
239,8,,Software Engineering,116,Formale Beschreibungstechniken,NotAConf
240,8,IWFM,Software Engineering,69,Irish Workshop in Formal Methods,IWFM
241,8,FSEN,Software Engineering,64,Fundamentals of Software Engineering,FSEN
242,8,ICMT,Software Engineering,56,International Conference on Model Transformation,ICMT
243,8,,Software Engineering,42,KORSO,NotAConf
244,8,,Software Engineering,34,ESPRIT ARES Workshops,ESPRIT ARES Workshop
245,8,IW-SAPF,Software Engineering,28,International Workshop on Software Architectures for Product Families,IW-SAPF
246,8,UNI/IIST,Software Engineering,27,Anniversary Colloquium of UNU/IIST,NotAConf
247,8,SDE,Software Engineering,25,Software Development Environments,SDE
248,8,SEM,Software Engineering,23,Software Engineering and Middleware,SEM
249,8,,Software Engineering,19,Semantics of Concurrent Computation,Semantics of Concurrent Computation
250,8,,Software Engineering,16,Temporal Logic in Specification,Temporal Logic in Specification
251,8,SCESM,Software Engineering,16,"Scenarios and state machines: models, algorithms, and tools",SCESM
252,8,,Software Engineering,13,Object Modeling with the OCL,Object Modeling with the OCL
253,7,CSSE,Software Engineering,1593,International Conference on Computer Science and Software Engineering,CSSE
254,7,ICSOFT,Software Engineering,724,International Conference on Software and Data Technologies,ICSOFT
255,7,ICETET,Software Engineering,712,International Conference on Emerging Trends in Engineering & Technology,ICETET
256,7,CAINE,Software Engineering,601,Computer Applications in Industry and Engineering,CAINE
257,7,ICSEA,Software Engineering,479,International Conference on Software Engineering Advances,ICSEA
258,7,SWSTE,Software Engineering,79,IEEE International Conference on Software,SwSTE
259,7,,Software Engineering,71,International Computing Symposium,International Computing Symposium
260,7,BDIM,Software Engineering,48,International Workshop on Business-Driven IT Management,BDIM
261,7,,Software Engineering,45,European Conference on Software Quality,NotAConf
262,7,,Software Engineering,26,Radical Innovations of Software and Systems Engineering in the Future,NotAConf
263,7,RODIN,Software Engineering,25,RODIN Project,NotAConf
264,7,A-MOST,Software Engineering,14,Advances in Model-Based Software Testing,A-MOST
265,6,NEMS,Software Engineering,1942,Nano/Micro Engineered and Molecular Systems,NEMS
266,6,DEPCOS,Software Engineering,196,International Conference on Dependability of Computer Systems,NotAConf
267,6,,Software Engineering,192,Fault-Tolerant Computing Systems / Fehlertolerierende Rechensysteme,NotAConf
268,6,IASSE,Software Engineering,163,International Conference on Intelligent and Adaptive Systems and Software Engineering,IASSE
269,6,LMO,Software Engineering,137,Langages et Modles  Objets,LMO
270,6,IWSM,Software Engineering,99,International Workshop on Software Measurement,IWSM
271,6,C3S2E,Software Engineering,85,Canadian Conference on Computer Science & Software Engineering,C3S2E
272,6,RISE,Software Engineering,46,Rapid Integration of Software Engineering Techniques,RISE
273,6,SEAFOOD,Software Engineering,45,Software Engineering Approaches for Offshore and Outsourced Development,SEAFOOD
274,6,,Software Engineering,32,Global Constraint Optimization and Constraint Satisfaction,NotAConf
275,6,SPLST,Software Engineering,25,Symposium on Programming Languages and Software Tools,SPLST
276,6,,Software Engineering,25,Performance Engineering,Performance Engineering
277,6,ROOM,Software Engineering,20,Rigorous Object-Oriented Methods,Rigorous Object-Oriented Methods
278,6,,Software Engineering,18,Component-Based Software Quality,Component-Based Software Quality
279,6,ESERNET,Software Engineering,16,Experimental Software Engineering Network,ESERNET
280,6,,Software Engineering,9,Algebraic and Coalgebraic Methods in the Mathematics of Program Construction,Algebraic and Coalgebraic Methods in the Mathematics of Program Construction
281,6,PAP,Software Engineering,8,International Conference and Exhibition on Practical Applications of Prolog,NotAConf
282,6,SESPSDE,Software Engineering,8,Software Engineering Symposium on Practical Software Development Environments,NotAConf
283,5,,Software Engineering,136,Verification and Validation of Enterprise Information Systems,NotAConf
284,5,,Software Engineering,127,FIFF Jahrestagung,FIFF Jahrestagung
285,5,,Software Engineering,60,IFIP TC2 Publications,NotAConf
286,5,ISEC,Software Engineering,47,India Software Engineering Conference,ISEC
287,5,,Software Engineering,44,BCS-FACS Publications,NotAConf
288,5,GSEM,Software Engineering,43,Grid Services Engineering and Management,GSEM
289,5,VaMoS,Software Engineering,35,Variability Modelling of Software-Intensive Systems,VaMoS
290,5,,Software Engineering,19,Semantics of Specification Languages,Semantics of Specification Languages
291,5,Larch,Software Engineering,17,International Workshop on Larch,Larch
292,5,RTSE,Software Engineering,15,Requirements Targeting Software and Systems Engineering,Requirements Targeting Software and Systems Engineering
293,5,,Software Engineering,12,Formal Methods and Testing,Formal Methods and Testing
294,4,,Software Engineering,304,Fachtagung Prozessrechner,Fachtagung Prozessrechner
295,4,SEDE,Software Engineering,271,Software Engineering and Data Engineering,SEDE
296,4,ITEE,Software Engineering,163,Information Technologies in Environmental Engineering,ITEE
297,4,,Software Engineering,82,Conference Internationale Associant Chercheurs Vietnamiens et Francophones en Informatique,NotAConf
298,4,,Software Engineering,61,Software Quality and Productivity,Software Quality and Productivity
299,4,,Software Engineering,41,PROSPECTRA,NotAConf
300,4,,Software Engineering,38,TEX for Scientific Documentation,TEX for Scientific Documentation
301,4,ISIM,Software Engineering,35,International Conference on Information System Implementation and Modeling,ISIM
302,4,TFM,Software Engineering,31,Teaching Formal Methods,TFM
303,4,,Software Engineering,29,IPSEN,NotAConf
304,4,,Software Engineering,29,RIMS Symposia on Software Science and Engineering,RIMS Symposia on Software Science and Engineering
305,4,,Software Engineering,27,The Analysis of Concurrent Systems,The Analysis of Concurrent Systems
306,4,ISCNZ,Software Engineering,25,Information Systems Conference of New Zealand,ISCNZ
307,4,,Software Engineering,24,Portability of Numerical Software,Portability of Numerical Software
308,4,ASWSD,Software Engineering,23,Automotive Software Workshop,ASWSD
309,4,WWV,Software Engineering,23,Automated Specification and Verification of Web Sites,WWV
310,4,,Software Engineering,22,Problems and Methodologies in Mathematical Software Production,Problems and Methodologies in Mathematical Software Production
311,4,COODBSE,Software Engineering,19,Colloquium on Object Orientation in Databases and Software Engineering,COODBSE
312,4,VISSAS,Software Engineering,17,Verification of Infinite-State Systems with Applications to Security,VISSAS
313,4,WOODPECKER,Software Engineering,10,"Workshop on Open Distribute Processing: Enterprise, Computation, Knowledge, Engineering and Realisation",WOODPECKER
314,4,WACC,Software Engineering,8,Work Activities Coordination and Collaboration,WACC
315,4,FMSB,Software Engineering,8,Formal Methods in Systems Biology,FMSB
316,3,Umwelt,Software Engineering,278,Informatik fr den Umweltschutz,NotAConf
317,3,JIISIC,Software Engineering,187,Ibero-American Symposium on Software Engineering and Knowledge Engineering,JIISIC
318,3,SoMeT,Software Engineering,130,"Software Methodologies, Tools and Techniques",SoMeT
319,3,EUNIS,Software Engineering,82,European University Information Systems,EUNIS
320,3,ISESS,Software Engineering,35,International Symposium on Environmental Software Systems,ISESS
321,3,ACIT,Software Engineering,29,"Automation, Control, and Information Technology","Automation, Control, and Information Technology"
322,3,iStar,Software Engineering,21,International i* Workshop,iStar
323,3,PSSE,Software Engineering,18,Pernambuco Summer School on Software Engineering,PSSE
324,3,,Software Engineering,15,Personal Computing,Personal Computing
325,3,ICEISSAM,Software Engineering,12,Software Audit and Metrics,Software Audit and Metrics
326,3,,Software Engineering,11,CIP-Project,NotAConf
327,3,COEA,Software Engineering,10,Component-Oriented Enterprise Applications,COEA
328,3,WISER,Software Engineering,6,Workshop on Interdisciplinary Software Engineering Research,WISER
329,2,,Software Engineering,141,Publications of the German Chapter of the ACM,NotAConf
330,2,EBUSINESS,Software Engineering,141,E-Business,NotAConf
331,2,SEUH,Software Engineering,117,Software Engineering im Unterricht der Hochschulen,SEUH
332,2,SETP,Software Engineering,64,Software Engineering Theory and Practice,SETP
333,2,,Software Engineering,54,International Working Conference on Model Realism,International Working Conference on Model Realism
334,2,CAL,Software Engineering,44,Confrence francophone sur les Architectures Logicielles,CAL
335,2,HINC,Software Engineering,41,History of Nordic Computing,History of Nordic Computing
336,2,,Software Engineering,21,Managing Information Technologys Organisational Impact,NotAConf
337,2,,Software Engineering,21,Software-Entwicklung,Software-Entwicklung
338,2,,Software Engineering,20,Software Management,Software Management
339,2,,Software Engineering,18,The IOTA Programming System,The IOTA Programming System
340,2,,Software Engineering,18,Objective Software Quality,Objective Software Quality
341,2,,Software Engineering,13,German-Argentinian Workshop on Information Technology,German-Argentinian Workshop on Information Technology
342,2,MASSA,Software Engineering,10,Multiagent Systems and Software Architecture,Multiagent Systems and Software Architecture
343,1,CIbSE,Software Engineering,73,Conferencia Iberoamericana de Software Engineering,CIbSE
344,1,WIMAW,Software Engineering,68,Management der Anwendungsentwicklung und -wartung,NotAConf
345,1,GMMEMV,Software Engineering,47,Elektromagnetische Vertrglichkeit in der KFZ-Technik,NotAConf
346,1,,Software Engineering,36,Frauenarbeit und Informatik,NotAConf
347,1,UH,Software Engineering,26,Unternehmen Hochschule,UH
348,1,,Software Engineering,13,Software-Architektur,Software-Architektur
349,1,ADIS,Software Engineering,12,Apoyo a la Decisin en Ingeniera del Software / Decision Support in Software Engineering,ADIS
350,1,DDOPS,Software Engineering,6,Development and Deployment of Product Software,DDoPS
351,1,,Software Engineering,1,IR Workshop,NotAConf
352,1,SETA,Software Engineering,1,Symposium on Environments and Tools for Ada,SETA
353,1,SCSS,Software Engineering,2,"International Conference on Complex, Intelligent and Software Intensive Systems",SCSS
354,0,,Software Engineering,17,"Testen, Analysieren und Verifizieren von Software","Testen, Analysieren und Verifizieren von Software"
